SiteReference,Site_name,Description,Town,Magisterial_district,NHRA status,Latitude,Longitude
9/2/072/0006,"Fisherman's Cottage, Alana Avenue, Velddrif, Piketberg District",,Velddrif,Piketberg,,,
9/2/072/0005,"Verlorenvlei, Elands Bay, Piketberg District",,Eland's Bay,Piketberg,National Monument,-32.333598, 18.418430
9/2/072/0003,"Banghoek Farm, Piketberg District",,Piketberg,Piketberg,National Monument,,
9/2/072/0001,"Kersefontein, Piketberg District",,Piketberg,Piketberg,,-32.903913, 18.332268
9/2/068/0036,"OUDTSHOORN MAGISTERIAL DISTRICT, GENERAL",,Oudtshoorn,Oudtshoorn,,,
9/2/068/0035,"Nooitgedacht Fossil Site, Cango Valley, Oudtshoorn District",,Oudtshoorn,Oudtshoorn,,,
9/2/068/0034,"Boomplaas Cave, Cango Valley, Oudtshoorn District",,Oudtshoorn,Oudtshoorn,,,
9/2/068/0033,"Queen's Hotel, Baron van Rheede Street, Oudtshoorn",,Oudtshoorn,Oudtshoorn,National Monument,-33.591503, 22.202567
9/2/068/0031,"Saffraanrivier, Oudtshoorn District",,Oudtshoorn,Oudtshoorn,,-33.736283, 22.037039
9/2/068/0030,"Oude Muragie, Oudtshoorn District",,Oudtshoorn,Oudtshoorn,,-33.454526, 22.437807
9/2/068/0029,"Municipal Cemetery, Oudtshoorn",,Oudtshoorn,Oudtshoorn,National Monument,-33.588577, 22.220386
9/2/068/0022,"St. Jude's Church complex, Oudtshoorn",,Oudtshoorn,Oudtshoorn,National Monument,,
9/2/068/0014,"Montagu House, Baron van Rheede Street, Oudtshoorn",,Oudtshoorn,Oudtshoorn,,,
9/2/068/0013,"Hartebeeshuisie, 6 Plein Street, Oudtshoorn",,Oudtshoorn,Oudtshoorn,,-33.606222, 22.212425
9/2/068/0012,"Magistrate's Residence, 77 Baron van Rheede Street, Oudtshoorn",,Oudtshoorn,Oudtshoorn,,-33.585524, 22.202697
9/2/068/0011,"Methodist Church Complex, 77 St. Saviour Street, Oudtshoorn",,Oudtshoorn,Oudtshoorn,National Monument,-33.586586, 22.204671
9/2/068/0007/1,"Memorial, C P Nel Museum, Baron van Reede Street, Oudtshoorn",,Oudtshoorn,Oudtshoorn,National Monument,-33.592167, 22.201915
9/2/068/0005,"OUDTSHOORN MUNICIPAL AREA, GENERAL",,Oudtshoorn,Oudtshoorn,National Monument,,
9/2/068/0004,"Old Drill Hall, Camp Street, Oudtshoorn",,Oudtshoorn,Oudtshoorn,National Monument,,
9/2/065/0007,"Military Graves, Stellenboschvlei, Murraysburg District",,Murraysburg,Murraysburg,,,
9/2/065/0005,"Military Graves, Vleiplaats",,Murraysburg,Murraysburg,,,
9/2/065/0003,"Victorian Cottage, 33 Darling Street, Murraysburg",,Murraysburg,Murraysburg,,-31.961013, 23.761009
9/2/065/0002,"MURRAYSBURG MUNICIPAL AREA, GENERAL",,Murraysburg,Murraysburg,,,
9/2/065/0001,"MURRAYSBURG MAGISTERIAL DISTRICT, GENERAL",,Murraysburg,Murraysburg,,,
9/2/060/0040,"PELLA LOCAL AREA GENERAL, Malmesbury District",,Pella,Malmesbury,,,
9/2/060/0039,"RIEBEECK KASTEEL LOCAL AREA, GENERAL, Malmesbury District",,Riebeeck Kasteel,Malmesbury,,,
9/2/060/0038,DARLING LOCAL AREA GENERAL,,Darling,Malmesbury,,,
9/2/060/0037,"KALBASKRAAL LOCAL AREA, GENERAL",,Kalbaskraal,Malmesbury,,,
9/2/060/0036,"BOTTERBERG LOCAL AREA, GENERAL",,Botterberg,Malmesbury,,,
9/2/060/0035,"Trafalgar House Precinct, Block Bounded by Church, Rainier, Loedolf & Riebeeck Streets, Malmesbury",,Malmesbury,Malmesbury,,-33.463649, 18.731591
9/2/060/0034,"RIEBEECK WEST LOCAL AREA, GENERAL",,Riebeeck West,Malmesbury,,,
